analysis_group,objective_mode,split,unit,stage,count,denominator,rate
positive_calibration,euc_2d,validation,instance,mandatory_exception,71,90,0.7888888888888889
positive_calibration,euc_2d,validation,instance,mandatory_with_exact_q1_baseline_defeat,71,71,1.0
positive_calibration,euc_2d,validation,instance,mandatory_with_global_q1_explanation,71,71,1.0
positive_calibration,euc_2d,validation,instance,mandatory_with_exclusive_q1_explanation,71,71,1.0
positive_calibration,euc_2d,validation,instance,mandatory_with_shared_q1_explanation,0,71,0.0
positive_calibration,euc_2d,validation,instance,mandatory_metric_q_ge_2_required,0,71,0.0
positive_calibration,euc_2d,validation,instance,mandatory_topological_q0_infeasible,0,71,0.0
positive_calibration,euc_2d,validation,instance,safe_positive_certificate,71,90,0.7888888888888889
positive_calibration,euc_2d,validation,instance,unique_q1_minimizer_certificate,90,90,1.0
positive_calibration,euc_2d,validation,edge,all_nonbaseline_pairs,137,137,1.0
positive_calibration,euc_2d,validation,edge,basic_safe_A_candidate_pairs,131,137,0.9562043795620438
positive_calibration,euc_2d,validation,edge,safe_A_candidate_pairs,90,137,0.656934306569343
positive_calibration,euc_2d,validation,edge,exact_q1_minimizer_support,90,137,0.656934306569343
positive_calibration,euclidean_raw,fixture,instance,all_objective_instances,1,1,1.0
positive_calibration,euclidean_raw,fixture,instance,threshold_applicable_q0_feasible,1,1,1.0
positive_calibration,euclidean_raw,fixture,instance,mandatory_exception,1,1,1.0
positive_calibration,euclidean_raw,fixture,instance,mandatory_with_exact_q1_baseline_defeat,1,1,1.0
positive_calibration,euclidean_raw,fixture,instance,mandatory_with_global_q1_explanation,1,1,1.0
positive_calibration,euclidean_raw,fixture,instance,mandatory_with_exclusive_q1_explanation,1,1,1.0
positive_calibration,euclidean_raw,fixture,instance,mandatory_with_shared_q1_explanation,0,1,0.0
positive_calibration,euclidean_raw,fixture,instance,mandatory_metric_q_ge_2_required,0,1,0.0
positive_calibration,euclidean_raw,fixture,instance,mandatory_topological_q0_infeasible,0,1,0.0
positive_calibration,euclidean_raw,fixture,instance,safe_positive_certificate,1,1,1.0
positive_calibration,euclidean_raw,fixture,instance,unique_q1_minimizer_certificate,1,1,1.0
positive_calibration,euclidean_raw,fixture,edge,all_nonbaseline_pairs,2,2,1.0
positive_calibration,euclidean_raw,fixture,edge,basic_safe_A_candidate_pairs,2,2,1.0
positive_calibration,euclidean_raw,fixture,edge,safe_A_candidate_pairs,1,2,0.5
positive_calibration,euclidean_raw,fixture,edge,exact_q1_minimizer_support,1,2,0.5
positive_calibration,euclidean_raw,validation,instance,all_objective_instances,90,90,1.0
positive_calibration,euclidean_raw,validation,instance,threshold_applicable_q0_feasible,90,90,1.0
positive_calibration,euclidean_raw,validation,instance,mandatory_exception,72,90,0.8
positive_calibration,euclidean_raw,validation,instance,mandatory_with_exact_q1_baseline_defeat,72,72,1.0
positive_calibration,euclidean_raw,validation,instance,mandatory_with_global_q1_explanation,72,72,1.0
positive_calibration,euclidean_raw,validation,instance,mandatory_with_exclusive_q1_explanation,72,72,1.0
positive_calibration,euclidean_raw,validation,instance,mandatory_with_shared_q1_explanation,0,72,0.0
positive_calibration,euclidean_raw,validation,instance,mandatory_metric_q_ge_2_required,0,72,0.0
positive_calibration,euclidean_raw,validation,instance,mandatory_topological_q0_infeasible,0,72,0.0
positive_calibration,euclidean_raw,validation,instance,safe_positive_certificate,72,90,0.8
positive_calibration,euclidean_raw,validation,instance,unique_q1_minimizer_certificate,89,90,0.9888888888888889
positive_calibration,euclidean_raw,validation,edge,all_nonbaseline_pairs,137,137,1.0
positive_calibration,euclidean_raw,validation,edge,basic_safe_A_candidate_pairs,131,137,0.9562043795620438
positive_calibration,euclidean_raw,validation,edge,safe_A_candidate_pairs,91,137,0.6642335766423357
positive_calibration,euclidean_raw,validation,edge,exact_q1_minimizer_support,90,137,0.656934306569343
